Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","220nF 250V","C_1206_3216Metric",97.750000,-65.250000,180.000000,top
"C2","10uF 25V","C_0603_1608Metric",90.340000,-64.910000,180.000000,top
"C3","100n","C_0402_1005Metric",83.550000,-69.800000,180.000000,top
"D1","35ns 1A 400V","D_SOD-123F",97.780000,-67.600000,180.000000,top
"J1","MSYS","PinHeader_2x05_P2.54mm_Horizontal",84.910000,-62.020000,90.000000,top
"J2","","rawpad22",82.000000,-95.125000,0.000000,top
"J3","","rawpad22",90.000000,-95.125000,0.000000,top
"J4","","rawpad22",86.000000,-95.125000,0.000000,top
"J5","","rawpad22",94.000000,-95.125000,0.000000,top
"J6","","rawpad22",98.000000,-95.125000,0.000000,top
"NE1","Lamp_Neon","neonglow",80.390000,-86.270000,90.000000,top
"NE2","Lamp_Neon","neonglow",80.430000,-73.635000,90.000000,top
"Q1","60V 3A","SOT-23",90.400000,-67.550000,0.000000,top
"Q2","HVN","SOT-23",85.910000,-77.790000,180.000000,top
"Q3","HVN","SOT-23",87.410000,-84.440000,150.000000,top
"Q4","HVN","SOT-23",92.500000,-84.790000,0.000000,top
"Q5","HVN","SOT-23",98.120000,-81.970000,180.000000,top
"Q6","HVN","SOT-23",83.180000,-87.370000,90.000000,top
"Q7","HVN","SOT-23",86.350000,-90.950000,60.000000,top
"Q8","HVN","SOT-23",98.000000,-78.000000,180.000000,top
"Q9","HVN","SOT-23",93.510000,-76.990000,90.000000,top
"Q10","HVN","SOT-23",91.470000,-91.730000,90.000000,top
"Q11","HVN","SOT-23",97.000000,-89.000000,-120.000000,top
"Q12","HVN","SOT-23",87.780000,-74.030000,90.000000,top
"Q13","HVN","SOT-23",80.970000,-77.590000,90.000000,top
"R1","10k","R_0402_1005Metric",82.000000,-67.360000,90.000000,top
"R2","1M","R_1206_3216Metric",97.720000,-72.180000,0.000000,top
"R3","10k","R_0402_1005Metric",85.290000,-64.300000,0.000000,top
"R4","15kΩ 1206 1% 250mW","R_1206_3216Metric",97.720000,-69.910000,180.000000,top
"R5","68kΩ 125mW","R_0805_2012Metric",81.580000,-91.730000,180.000000,top
"R6","68kΩ 125mW","R_0805_2012Metric",90.590000,-74.090000,-90.000000,top
"T1","Flyback-ATB3225","Flyback-ATB3225",93.955000,-67.290000,-90.000000,top
"U1","CH32V003F4U6","QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm",85.359999,-67.140000,0.000000,top
"U2","IN12-NIXIETUBE","IN12-NIXIE",90.000000,-80.000000,0.000000,top
